行政區域,建物型態,預測價格
大安區,住宅大樓(11層含以上有電梯),54.9
大安區,公寓(5樓含以下無電梯),52.1
大安區,套房(1房1廳1衛),59.1
大安區,店面(店鋪),20.3
大安區,華廈(10層含以下有電梯),50.8
大安區,辦公商業大樓,76.3
大安區,透天厝,64.7
中正區,住宅大樓(11層含以上有電梯),54.4
中正區,公寓(5樓含以下無電梯),86.2
中正區,套房(1房1廳1衛),34.1
中正區,店面(店鋪),74.7
中正區,華廈(10層含以下有電梯),52.8
中正區,辦公商業大樓,45.1
中正區,透天厝,33.3
大同區,住宅大樓(11層含以上有電梯),43.7
大同區,公寓(5樓含以下無電梯),34.3
大同區,套房(1房1廳1衛),41.8
大同區,店面(店鋪),66.7
大同區,華廈(10層含以下有電梯),36.1
大同區,辦公商業大樓,41.9
大同區,透天厝,28.7
內湖區,住宅大樓(11層含以上有電梯),42.1
內湖區,公寓(5樓含以下無電梯),38.4
內湖區,套房(1房1廳1衛),36.1
內湖區,店面(店鋪),52.7
內湖區,華廈(10層含以下有電梯),47.3
內湖區,辦公商業大樓,44.3
內湖區,透天厝,14.2
松山區,住宅大樓(11層含以上有電梯),47.0
松山區,公寓(5樓含以下無電梯),53.9
松山區,套房(1房1廳1衛),52.9
松山區,店面(店鋪),75.4
松山區,華廈(10層含以下有電梯),49.3
松山區,辦公商業大樓,65.3
松山區,透天厝,21.5
士林區,住宅大樓(11層含以上有電梯),45.8
士林區,公寓(5樓含以下無電梯),48.0
士林區,套房(1房1廳1衛),20.1
士林區,店面(店鋪),73.6
士林區,華廈(10層含以下有電梯),49.7
士林區,辦公商業大樓,55.3
士林區,透天厝,58.0
中山區,住宅大樓(11層含以上有電梯),57.5
中山區,公寓(5樓含以下無電梯),46.6
中山區,套房(1房1廳1衛),50.0
中山區,店面(店鋪),81.0
中山區,華廈(10層含以下有電梯),49.6
中山區,辦公商業大樓,65.2
中山區,透天厝,50.4
萬華區,住宅大樓(11層含以上有電梯),40.8
萬華區,公寓(5樓含以下無電梯),29.7
萬華區,套房(1房1廳1衛),37.1
萬華區,店面(店鋪),50.0
萬華區,華廈(10層含以下有電梯),31.6
萬華區,辦公商業大樓,45.8
萬華區,透天厝,36.1
北投區,住宅大樓(11層含以上有電梯),41.3
北投區,公寓(5樓含以下無電梯),47.3
北投區,套房(1房1廳1衛),40.6
北投區,店面(店鋪),56.9
北投區,華廈(10層含以下有電梯),48.1
北投區,辦公商業大樓,60.1
北投區,透天厝,33.9
信義區,住宅大樓(11層含以上有電梯),73.2
信義區,公寓(5樓含以下無電梯),48.5
信義區,套房(1房1廳1衛),70.1
信義區,店面(店鋪),23.1
信義區,華廈(10層含以下有電梯),55.6
信義區,辦公商業大樓,39.2
信義區,透天厝,75.1
文山區,住宅大樓(11層含以上有電梯),43.9
文山區,公寓(5樓含以下無電梯),48.7
文山區,套房(1房1廳1衛),41.1
文山區,店面(店鋪),71.4
文山區,華廈(10層含以下有電梯),45.2
文山區,辦公商業大樓,52.3
文山區,透天厝,31.9
南港區,住宅大樓(11層含以上有電梯),27.2
南港區,公寓(5樓含以下無電梯),28.3
南港區,套房(1房1廳1衛),36.1
南港區,店面(店鋪),48.8
南港區,華廈(10層含以下有電梯),35.6
南港區,辦公商業大樓,23.5
南港區,透天厝,34.0
